DeptID,Department,JobRole
1,Engineering,DevOps Engineer
2,Marketing,Marketing Manager
3,Sales,Account Manager
4,Marketing,Content Writer
5,Engineering,QA Engineer
6,HR,HR Specialist
7,Operations,Operations Manager
8,HR,HR Manager
9,Sales,Sales Representative
10,Engineering,Technical Lead
11,Operations,Project Manager
12,Finance,Financial Analyst
13,Marketing,SEO Specialist
14,HR,Recruiter
15,Operations,Coordinator
16,Finance,Accountant
17,Finance,Finance Manager
18,Engineering,Software Engineer
19,Sales,Sales Executive
