EmployeeID,DeptID,HireDate,ExitDate,Salary,PerformanceRating,TenureDays,IsActive
EMP001,1,2023-01-15,Active,97807,4,1206,1
EMP002,2,2021-01-09,Active,40830,4,1942,1
EMP003,3,2020-10-19,Active,55053,3,2024,1
EMP004,4,2022-11-03,2025-02-11,102224,3,831,0
EMP005,3,2023-07-14,Active,76801,1,1026,1
EMP006,5,2023-05-12,Active,70546,2,1089,1
EMP007,6,2020-11-27,Active,87159,2,1985,1
EMP008,1,2021-08-02,Active,54951,2,1737,1
EMP009,7,2018-06-17,Active,73327,3,2879,1
EMP010,8,2021-01-03,2023-05-12,53616,1,859,0
EMP011,9,2022-11-25,Active,44468,4,1257,1
EMP012,4,2022-02-09,Active,89220,5,1546,1
EMP013,7,2019-05-04,Active,71360,1,2558,1
EMP014,2,2019-05-03,Active,99354,2,2559,1
EMP015,10,2020-02-17,Active,55393,3,2269,1
EMP016,6,2022-01-10,Active,106053,2,1576,1
EMP017,11,2020-05-25,Active,74443,3,2171,1
EMP018,10,2020-05-21,Active,61695,5,2175,1
EMP019,7,2022-02-22,2025-07-22,45412,5,1246,0
EMP020,12,2022-01-09,Active,92541,1,1577,1
EMP021,13,2023-09-18,Active,95665,4,960,1
EMP022,14,2019-10-11,Active,79540,2,2398,1
EMP023,12,2022-01-30,Active,59941,5,1556,1
EMP024,12,2021-03-07,Active,61977,1,1885,1
EMP025,15,2018-04-15,Active,45657,5,2942,1
EMP026,11,2018-09-29,Active,79984,4,2775,1
EMP027,12,2019-11-06,Active,55645,4,2372,1
EMP028,14,2022-12-16,Active,87542,2,1236,1
EMP029,16,2018-02-05,Active,43794,2,3011,1
EMP030,15,2019-07-07,Active,69803,5,2494,1
EMP031,11,2021-05-06,2022-05-30,77231,2,389,0
EMP032,4,2021-05-09,2025-04-13,80189,1,1435,0
EMP033,8,2019-01-27,Active,88802,1,2655,1
EMP034,1,2019-05-29,Active,79509,3,2533,1
EMP035,7,2018-12-22,Active,47983,2,2691,1
EMP036,13,2021-04-27,Active,110116,4,1834,1
EMP037,2,2023-09-10,Active,117693,5,968,1
EMP038,9,2021-05-15,Active,104720,5,1816,1
EMP039,6,2023-05-13,Active,86797,2,1088,1
EMP040,1,2022-01-29,Active,107159,4,1557,1
EMP041,17,2021-10-18,Active,98667,3,1660,1
EMP042,14,2022-06-27,Active,106383,3,1408,1
EMP043,6,2020-01-18,2023-12-31,84063,5,1443,0
EMP044,8,2018-08-09,2020-10-24,92773,3,807,0
EMP045,15,2023-01-11,Active,82943,1,1210,1
EMP046,11,2023-11-09,Active,98093,1,908,1
