EmployeeID,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,Department,salary
EMP001,0.42,0.54,6,163,10,0,0,0,sales,medium
EMP002,0.6,0.64,5,161,9,1,0,1,sales,low
EMP003,0.72,0.58,5,183,3,0,0,0,marketing,medium
EMP004,0.16,0.45,4,253,3,0,1,0,hr,low
EMP005,0.51,0.62,7,266,10,0,0,0,support,medium
EMP006,0.44,0.5,5,225,10,0,0,1,technical,medium
EMP007,0.63,0.71,7,174,5,0,0,1,marketing,low
EMP008,0.48,0.65,5,221,5,0,0,0,support,medium
EMP009,0.54,0.78,4,248,3,0,1,0,sales,high
EMP010,0.42,0.78,6,279,3,0,0,0,marketing,medium
EMP011,0.53,0.61,3,256,3,0,1,0,sales,high
EMP012,0.89,0.89,7,267,3,0,0,0,management,high
EMP013,0.77,0.85,5,158,8,1,0,0,marketing,high
EMP014,0.61,0.75,7,247,9,0,0,1,hr,medium
EMP015,0.41,0.8,6,281,1,0,1,0,technical,high
EMP016,0.78,0.58,6,151,10,1,0,0,technical,high
EMP017,0.61,0.87,5,167,1,0,0,0,marketing,medium
EMP018,0.43,0.66,6,228,4,0,1,0,management,high
EMP019,0.4,0.73,3,244,1,0,1,0,sales,high
EMP020,0.94,0.54,7,176,6,0,0,0,hr,medium
EMP021,0.48,0.74,5,164,8,0,0,0,marketing,medium
EMP022,0.12,0.38,2,202,3,0,1,0,sales,medium
EMP023,0.46,0.98,3,272,3,0,0,0,marketing,low
EMP024,0.62,0.73,5,187,3,0,0,0,marketing,medium
EMP025,0.37,0.8,3,255,10,0,0,0,technical,medium
EMP026,0.19,0.51,2,273,1,0,1,0,technical,medium
EMP027,0.58,0.6,2,207,8,0,0,0,technical,high
EMP028,0.73,0.8,6,169,6,0,0,0,sales,high
EMP029,0.46,0.83,4,161,3,0,0,0,marketing,medium
EMP030,0.42,0.68,3,270,7,0,0,0,technical,high
EMP031,0.6,0.59,7,277,3,0,0,0,management,medium
EMP032,0.44,0.65,5,153,6,1,0,0,management,medium
EMP033,0.47,0.69,6,269,8,0,0,0,hr,medium
EMP034,0.8,0.72,3,161,10,0,0,0,technical,high
EMP035,0.54,0.63,6,213,3,0,0,0,support,medium
EMP036,0.84,0.74,6,168,10,0,0,0,sales,low
EMP037,0.47,0.56,2,297,6,0,1,0,hr,medium
EMP038,0.29,0.76,3,238,1,0,1,0,technical,medium
EMP039,0.87,0.72,2,200,4,0,0,0,hr,medium
EMP040,0.57,0.85,7,249,3,0,0,0,management,medium
