EmployeeID,DeptID,HireDate,ExitDate,Salary,PerformanceRating,TenureDays,IsActive
EMP001,1,2022-10-24,2024-06-30,63430,3,615,0
EMP002,2,2020-06-06,Active,118846,5,2163,1
EMP003,1,2020-02-23,Active,50054,5,2267,1
EMP004,3,2023-05-27,Active,44272,5,1078,1
EMP005,4,2021-05-17,Active,73314,2,1818,1
EMP006,5,2019-03-09,2022-06-11,104023,2,1190,0
EMP007,5,2019-05-16,Active,61248,4,2550,1
EMP008,6,2019-01-27,Active,62903,5,2659,1
EMP009,2,2019-11-01,Active,75453,3,2381,1
EMP010,7,2019-06-20,Active,104092,3,2515,1
EMP011,5,2021-11-04,2025-10-28,66445,5,1454,0
EMP012,8,2023-05-02,Active,51547,5,1103,1
EMP013,8,2019-12-07,Active,84983,1,2345,1
EMP014,9,2023-06-02,Active,86253,5,1072,1
EMP015,5,2021-04-06,Active,113345,4,1859,1
EMP016,5,2021-12-08,2022-04-12,98051,3,125,0
EMP017,10,2021-12-08,Active,45050,1,1613,1
EMP018,6,2019-06-28,Active,102002,1,2507,1
EMP019,8,2022-06-30,Active,78565,2,1409,1
EMP020,11,2020-11-28,Active,100486,3,1988,1
EMP021,3,2020-11-22,2021-03-16,119403,2,114,0
EMP022,12,2018-06-19,Active,75327,1,2881,1
EMP023,13,2019-03-09,Active,57816,2,2618,1
EMP024,11,2023-05-11,Active,78120,4,1094,1
EMP025,2,2020-03-17,Active,96138,5,2244,1
EMP026,14,2018-06-03,2022-02-10,119917,4,1348,0
EMP027,15,2019-02-26,Active,92954,4,2629,1
EMP028,16,2021-11-25,2023-09-10,98202,2,654,0
EMP029,17,2019-11-05,Active,75364,4,2377,1
EMP030,17,2018-04-20,Active,90882,4,2941,1
EMP031,4,2023-03-27,Active,83996,4,1139,1
EMP032,4,2022-11-28,Active,81907,3,1258,1
EMP033,18,2020-08-16,Active,102201,1,2092,1
EMP034,7,2021-09-17,Active,106843,1,1695,1
EMP035,2,2021-04-02,Active,111882,3,1863,1
EMP036,8,2023-05-23,Active,40636,3,1082,1
EMP037,6,2021-11-25,Active,85827,5,1626,1
EMP038,5,2020-06-25,Active,71183,4,2144,1
EMP039,7,2019-10-06,2020-10-14,78564,4,374,0
EMP040,6,2023-11-14,Active,49969,1,907,1
EMP041,15,2021-05-28,Active,74170,5,1807,1
EMP042,5,2020-04-25,Active,65910,5,2205,1
EMP043,13,2018-10-10,Active,57139,5,2768,1
EMP044,19,2021-06-23,Active,76788,3,1781,1
EMP045,18,2021-11-03,Active,96223,3,1648,1
EMP046,1,2022-04-14,Active,104384,2,1486,1
EMP047,13,2019-07-27,Active,76736,4,2478,1
EMP048,4,2023-11-03,Active,63747,5,918,1
EMP049,11,2021-01-04,Active,41734,5,1951,1
EMP050,2,2020-07-01,Active,81577,4,2138,1
EMP051,9,2018-12-24,Active,81671,5,2693,1
EMP052,10,2023-02-09,Active,92561,2,1185,1
EMP053,17,2022-01-05,Active,114894,1,1585,1
EMP054,3,2018-09-05,Active,103469,2,2803,1
EMP055,16,2018-03-19,Active,88231,4,2973,1
EMP056,18,2021-05-15,Active,114173,4,1820,1
EMP057,1,2021-11-07,Active,57714,4,1644,1
EMP058,5,2018-11-21,Active,94692,2,2726,1
EMP059,14,2019-03-21,Active,81991,1,2606,1
EMP060,3,2021-11-19,Active,60270,2,1632,1
EMP061,13,2023-11-04,Active,77712,5,917,1
EMP062,18,2020-12-01,Active,101460,3,1985,1
EMP063,17,2020-03-01,Active,96934,3,2260,1
EMP064,14,2020-09-18,Active,81094,5,2059,1
EMP065,11,2023-03-24,Active,46138,2,1142,1
EMP066,11,2019-11-03,Active,108375,1,2379,1
EMP067,17,2019-10-15,Active,92303,5,2398,1
EMP068,6,2018-04-02,Active,67896,5,2959,1
EMP069,10,2019-06-15,Active,90972,2,2520,1
EMP070,1,2018-08-06,Active,42817,3,2833,1
EMP071,7,2021-07-30,Active,116105,1,1744,1
EMP072,13,2021-12-07,Active,78065,3,1614,1
EMP073,11,2020-06-04,Active,65285,2,2165,1
EMP074,11,2020-11-19,Active,52258,5,1997,1
EMP075,18,2023-05-31,Active,48469,2,1074,1
EMP076,3,2021-09-27,Active,41530,3,1685,1
EMP077,6,2022-02-24,Active,60439,4,1535,1
EMP078,15,2022-12-14,Active,99702,5,1242,1
EMP079,14,2021-11-14,Active,99012,2,1637,1
EMP080,17,2019-02-13,Active,109569,1,2642,1
EMP081,2,2021-05-08,Active,65930,3,1827,1
EMP082,10,2023-05-22,Active,90341,5,1083,1
EMP083,1,2018-10-18,Active,75564,4,2760,1
EMP084,11,2022-12-31,Active,79877,3,1225,1
EMP085,13,2018-02-23,Active,82205,1,2997,1
EMP086,17,2020-02-27,Active,49219,2,2263,1
EMP087,11,2019-07-13,2021-03-06,80449,3,602,0
EMP088,16,2018-09-06,Active,63051,4,2802,1
EMP089,2,2023-12-15,Active,94681,5,876,1
EMP090,16,2020-03-20,Active,44184,2,2241,1
EMP091,4,2018-05-31,Active,50530,1,2900,1
EMP092,15,2020-04-12,Active,88975,1,2218,1
EMP093,16,2018-04-17,Active,115847,3,2944,1
EMP094,11,2019-02-04,Active,52718,2,2651,1
EMP095,12,2019-08-23,Active,70588,1,2451,1
EMP096,14,2018-08-01,Active,65003,1,2838,1
EMP097,14,2021-11-12,Active,119082,2,1639,1
EMP098,16,2020-04-16,Active,80663,1,2214,1
EMP099,7,2020-07-09,Active,106443,5,2130,1
EMP100,9,2022-12-01,Active,42662,5,1255,1
EMP101,5,2023-11-25,Active,105331,2,896,1
EMP102,12,2020-07-21,2023-05-04,61476,2,1017,0
EMP103,14,2019-08-29,Active,95858,4,2445,1
EMP104,13,2018-10-18,Active,79477,4,2760,1
EMP105,12,2019-05-10,Active,43970,2,2556,1
EMP106,7,2020-10-28,Active,44360,3,2019,1
EMP107,4,2023-01-14,Active,43640,1,1211,1
EMP108,15,2022-01-22,2023-03-12,97479,3,414,0
EMP109,14,2018-03-29,Active,66283,2,2963,1
EMP110,5,2018-03-23,Active,56633,4,2969,1
EMP111,7,2022-12-06,Active,73328,2,1250,1
EMP112,12,2023-12-19,Active,95419,5,872,1
EMP113,11,2018-04-06,2019-10-09,40114,3,551,0
EMP114,18,2018-05-13,Active,72829,4,2918,1
EMP115,18,2023-03-01,Active,73833,2,1165,1
EMP116,11,2023-11-16,Active,87243,2,905,1
EMP117,14,2021-11-11,Active,102610,5,1640,1
EMP118,1,2019-11-04,Active,99801,4,2378,1
EMP119,1,2018-04-27,Active,118262,1,2934,1
EMP120,6,2018-05-22,Active,53007,1,2909,1
EMP121,12,2022-05-16,Active,50363,1,1454,1
EMP122,3,2022-01-13,Active,81959,4,1577,1
EMP123,4,2022-02-25,Active,111995,5,1534,1
EMP124,5,2019-04-14,Active,41129,5,2582,1
EMP125,9,2023-11-23,Active,40149,5,898,1
EMP126,13,2020-07-09,Active,54214,1,2130,1
EMP127,13,2020-04-11,Active,92524,1,2219,1
EMP128,18,2023-05-31,Active,119830,4,1074,1
EMP129,5,2020-12-28,Active,109241,4,1958,1
EMP130,1,2022-01-28,Active,85949,2,1562,1
EMP131,11,2022-09-30,Active,114470,5,1317,1
EMP132,9,2019-02-03,Active,41767,5,2652,1
EMP133,7,2020-08-11,Active,87832,1,2097,1
EMP134,6,2018-09-15,Active,79802,2,2793,1
EMP135,17,2018-06-05,2020-06-26,87582,2,752,0
EMP136,19,2020-01-20,Active,119421,3,2301,1
EMP137,9,2021-07-21,Active,114560,2,1753,1
EMP138,13,2018-09-21,2020-11-17,76304,4,788,0
EMP139,17,2022-05-15,Active,56597,2,1455,1
EMP140,16,2020-05-03,Active,71026,3,2197,1
EMP141,15,2020-03-26,Active,57701,2,2235,1
